Profile Name,Channel,Campaign Name,Ad Group,Keyword,Match Type,Keyword Status,Bid,Quality Score,Impressions,Clicks,Conversions,Cost,Avg CPC,Revenue,Avg Pos.
Gotham Stay,bing,TM - elite Passport,GP_Phrase,elite passport Gotham,Phrase,Active,0.8,0,84,11,0,1.66,0.1,0,1.5
Gotham Stay,Google,TM - elite Passport,GP_Exact,elite passport Gotham,Exact,Active,0,8.5,386,93,4,1.46,0,1450.1,1
Gotham Stay,Google,TM - elite Passport,GP_Phrase,elite passport Gotham,Phrase,Active,0.1,9.2,131,22,2,0.65,0,296.3,1.1
Gotham Stay,bing,TM - elite Passport,GP_Exact,elitepassport Gotham com,Exact,Active,1.9,0,27,10,0,1.32,0.1,0,1
Gotham Stay,bing,TM - elite Passport,GP_Phrase,elitepassport Gotham com,Phrase,Active,0.5,0,43,3,0,0.92,0.3,0,1
Gotham Stay,Google,TM - elite Passport,GP_Exact,elitepassport Gotham com,Exact,Active,0.3,8.3,106,39,1,0.75,0,0,0.9
Gotham Stay,Google,TM - elite Passport,GP_Phrase,elitepassport Gotham com,Phrase,Active,0.4,9.4,14,6,0,0.12,0,0,0.9
Gotham Stay,Google,TM - elite Passport,GP_Exact,elitepassport.Gotham.com,Exact,Active,0.2,9.5,21,3,0,0.04,0,0,0.9
Gotham Stay,Google,TM - elite Passport,GP_Phrase,elitepassport.Gotham.com,Phrase,Active,0.4,8.4,9,4,0,0.22,0.1,0,1
Gotham Stay,bing,LOC-non-Gotham - Misspelling,Gotham Misspelling,Gootham,Exact,Active,3.4,0,8,0,0,0,0,0,0.9
Gotham Stay,bing,LOC-non-Gotham - Misspelling,Gotham Misspelling,Gotam,Exact,Active,3.7,0,1791,61,3,13.18,0.2,724.4,1.1
Gotham Stay,Google,Gen - PV - Brand Video 2012,Gotham General,Gotham,Phrase,Active,2.5,8.8,56238,1260,6,105.41,0.1,2270.6,1
Gotham Stay,bing,LOC-non-Gotham - High Volume,Gotham - Broad,Gotham,Broad,Active,8.6,0,446995,40011,2942,9911.24,0.2,816707.1,1
Gotham Stay,bing,LOC-non-Gotham - High Volume,Gotham - Exact,Gotham,Exact,Active,2.9,0,6,3,0,0.36,0.1,0,1
Gotham Stay,bing,LOC-non-Gotham - High Volume,Gotham - Phrase,Gotham,Phrase,Active,3.3,0,460,2,0,0.12,0.1,0,1.2
Gotham Stay,Google,TOL LOC-non-Gotham - High Volume,Gotham - Exact,Gotham,Exact,Active,1.7,5.6,93694,2378,0,869.26,0.4,0,0.9
Gotham Stay,Google,TOL LOC-non-Gotham - High Volume,Gotham - Phrase,Gotham,Phrase,Active,1.7,5.5,75564,1151,0,1085.19,0.7,0,1.2
Gotham Stay,Google,LOC-non-Gotham - High Volume,Gotham - Exact,Gotham,Exact,Active,0.5,6.1,547416,123151,9137,6478.43,0,2536867.6,1
Gotham Stay,Google,LOC-non-Gotham - High Volume,Gotham - Phrase,Gotham,Phrase,Active,8.6,6.6,822726,55329,1770,52434.9,0.8,521384,1
Gotham Stay,bing,LOC-non-Gotham - Explore,Gotham Adventure Package,Gotham adventure package,Phrase,Active,0.9,0,1,1,0,0.16,0.2,0,0.9
Gotham Stay,bing,TM - elite Passport,GP_Exact,Gotham and rewards,Exact,Active,0.2,0,894,135,7,23.44,0.1,1417.4,1.4
Gotham Stay,bing,TM - elite Passport,GP_Phrase,Gotham and rewards,Phrase,Active,1.1,0,470,72,2,8.69,0.1,822.2,1.1
Gotham Stay,Google,TM - elite Passport,GP_Exact,Gotham and rewards,Exact,Active,1.4,8.4,3,0,0,0,0,0,1
Gotham Stay,bing,LOC-non-Gotham - Awaken,Gotham Awaken,Gotham awaken,Phrase,Active,1.3,0,1,0,0,0,0,0,1
Gotham Stay,bing,LOC-non-Gotham - Awaken,Gotham Awaken,Gotham awaken package,Phrase,Active,3,0,2,1,0,0.15,0.2,0,1.4
Gotham Stay,Google,LOC-non-Gotham - Awaken,Gotham Awaken,Gotham awaken package,Phrase,Active,0.3,6,26,5,2,0.18,0,3064.2,0.9
Gotham Stay,Google,LOC-non-Gotham - Balance,Gotham Balance,Gotham balance,Phrase,Active,1.9,6.6,3,0,0,0,0,0,1.3
Gotham Stay,Google,LOC-non-Gotham - Awaken,Gotham Bed and Breakfast,Gotham bed & breakfast,Phrase,Active,1.7,6.8,3,0,0,0,0,0,1
Gotham Stay,bing,LOC-non-Gotham - Awaken,Gotham Bed and Breakfast,Gotham bed and breakfast,Phrase,Active,1.9,0,5,1,0,0.14,0.2,0,1.2
Gotham Stay,Google,LOC-non-Gotham - Awaken,Gotham Bed and Breakfast,Gotham bed and breakfast,Phrase,Active,0.8,6.8,16,5,0,0.55,0.1,0,1
Gotham Stay,Google,Blog - Gotham Blog,Blog,Gotham blog,Exact,Active,1.8,5.5,113,19,0,4.49,0.2,0,1
Gotham Stay,Google,Blog - Gotham Blog,Hotel Blog,Gotham blog,Phrase,Active,1.8,4.9,977,17,0,17.37,1,0,1
Gotham Stay,Google,Blog - Gotham Blog,Blog,Gotham blogs,Exact,Active,1.7,5,1,0,0,0,0,0,0.9
Gotham Stay,Google,Blog - Gotham Blog,Hotel Blog,Gotham blogs,Phrase,Active,1.7,5.1,26,2,0,3.12,1.7,0,1
Gotham Stay,bing,TM - elite Passport,GP_Exact,Gotham bonus points,Exact,Active,1,0,13,0,0,0,0,0,1
Gotham Stay,bing,TM - elite Passport,GP_Phrase,Gotham bonus points,Phrase,Active,0.5,0,12,1,0,0.26,0.3,0,1
Gotham Stay,Google,TM - elite Passport,GP_Exact,Gotham bonus points,Exact,Active,0.9,5.6,44,2,0,0.12,0.1,0,1
Gotham Stay,Google,TM - elite Passport,GP_Phrase,Gotham bonus points,Phrase,Active,2.4,5.4,74,2,0,0.8,0.4,0,1.1
Gotham Stay,Google,LOC-non-Gotham - Websites,Gotham.com - Phrase,Gotham ccom,Phrase,Active,2.4,6.9,22,7,0,0.31,0,0,1
Gotham Stay,Google,LOC-non-Gotham - Info,Gotham Hotel Stay,Gotham Stay,Phrase,Active,0.8,6.4,122,31,1,2.09,0.1,0,1
Gotham Stay,Google,Gen - PV - Brand Video 2012,Brand Video,Gotham channel,Phrase,Active,2.6,9.3,77,3,0,0.07,0,0,1
Gotham Stay,bing,LOC-non-Gotham - Websites,Gotham.com - Exact,Gotham com,Exact,Active,0.9,0,22559,10311,698,1149.96,0.1,187449,0.9
Gotham Stay,Google,TOL LOC-non-Gotham - Websites,Gotham.com - Exact,Gotham com,Exact,Active,0.1,8.3,7278,527,0,12.69,0,0,1.2
Gotham Stay,Google,LOC-non-Gotham - Websites,Gotham.com - Exact,Gotham com,Exact,Active,0,8.4,10329,4659,515,95.53,0,117806.4,1
Gotham Stay,Google,LOC-non-Gotham - Info,Gotham Hotel Stay,Gotham convention center,Phrase,Active,4.7,2.6,374,19,2,15.22,0.7,728.6,1
Gotham Stay,bing,LOC-non-Gotham - Info,Gotham Corporation,Gotham corp,Phrase,Active,4.5,0,107,8,0,3.16,0.4,0,1.1
Gotham Stay,Google,TOL LOC-non-Gotham - Info,Gotham Corporation,Gotham corp,Phrase,Active,0.1,6.2,15,1,0,0.05,0,0,1
Gotham Stay,Google,LOC-non-Gotham - Info,Gotham Corporation,Gotham corp,Phrase,Active,1.6,5.8,267,29,0,5.02,0.2,0,1
Gotham Stay,bing,LOC-non-Gotham - Info,Gotham Corporation,Gotham corporate,Phrase,Active,9.7,0,297,15,3,8.04,0.5,1818.5,0.9
Gotham Stay,Google,TOL LOC-non-Gotham - Info,Gotham Corporation,Gotham corporate,Phrase,Active,1.7,5.8,217,6,0,4.62,0.6,0,1
Gotham Stay,Google,LOC-non-Gotham - Info,Gotham Corporation,Gotham corporate,Phrase,Active,1.6,4.8,910,90,0,16.04,0.2,0,0.9
Gotham Stay,bing,LOC-non-Gotham - Info,Gotham Corporation,Gotham corporate headquarters,Phrase,Active,6.9,0,77,8,0,1.71,0.2,0,1
Gotham Stay,Google,LOC-non-Gotham - Info,Gotham Corporation,Gotham corporate office,Phrase,Active,2.2,4,371,25,0,15.01,0.5,0,1
Gotham Stay,bing,LOC-non-Gotham - Info,Gotham Corporation,Gotham corporate offices,Phrase,Active,4.4,0,188,12,1,2.69,0.2,320.1,1.2
Gotham Stay,Google,LOC-non-Gotham - Info,Gotham Corporation,Gotham corporate offices,Phrase,Active,1.4,5.8,89,8,0,0.82,0.1,0,0.9
Gotham Stay,bing,LOC-non-Gotham - Info,Gotham Corporation,Gotham corporation,Phrase,Active,6.1,0,424,25,0,9.78,0.3,0,1.2
Gotham Stay,Google,TOL LOC-non-Gotham - Info,Gotham Corporation,Gotham corporation,Phrase,Active,0.1,6.2,75,0,0,0,0,0,1.3
Gotham Stay,Google,LOC-non-Gotham - Info,Gotham Corporation,Gotham corporation,Phrase,Active,0.9,5.8,1171,128,0,10.85,0.1,0,1
Gotham Stay,bing,LOC-non-Gotham - Info,Gotham Corporation,Gotham corporation headquarters,Phrase,Active,1.7,0,35,3,0,0.96,0.3,0,1
Gotham Stay,bing,LOC-Gotham Leisure,Gotham Leisure_Exact,Gotham deals,Exact,Active,0.4,0,179,13,1,3.92,0.3,564.8,1.7
Gotham Stay,bing,LOC-Gotham Leisure,Gotham Leisure_Phrase,Gotham deals,Phrase,Active,0.4,0,54,3,0,1.15,0.3,0,2.6
Gotham Stay,Google,LOC-Gotham Leisure,Gotham Leisure_Exact,Gotham deals,Exact,Active,0.7,7.2,637,61,4,14.29,0.2,1457.7,1
Gotham Stay,Google,LOC-Gotham Leisure,Gotham Leisure_Phrase,Gotham deals,Phrase,Active,0.4,6.7,333,18,1,6.63,0.3,632.1,3.3
Gotham Stay,bing,LOC-non-Gotham - Locations,Downtown Gotham,Gotham downtown,Exact,Active,2.2,0,479,7,0,6.27,0.9,0,1.5
Gotham Stay,Google,LOC-non-Gotham - Locations,Downtown Gotham,Gotham downtown,Exact,Active,3,3.1,867,69,1,28.99,0.5,374.3,1
Gotham Stay,Google,LOC-non-Gotham Regency - Search,Gotham Regency - Search,Gotham egency,Phrase,Active,2.5,5.7,42,6,0,0.9,0.1,0,1
Gotham Stay,bing,TM - elite Passport,GP_Exact,Gotham elite status,Exact,Active,1.1,0,4,0,0,0,0,0,1
Gotham Stay,bing,TM - elite Passport,GP_Phrase,Gotham elite status,Phrase,Active,0.5,0,2,0,0,0,0,0,0.9
Gotham Stay,Google,TM - elite Passport,GP_Exact,Gotham elite status,Exact,Active,0.9,6.7,30,3,0,0.46,0.2,0,1
Gotham Stay,Google,TM - elite Passport,GP_Phrase,Gotham elite status,Phrase,Active,0.3,6.5,4,1,0,0.78,0.9,0,1
Gotham Stay,Google,LOC-non-Gotham - Explore,Gotham Explore,Gotham explore,Phrase,Active,2,6,2,1,0,0.05,0,0,1
Gotham Stay,Google,LOC-non-Gotham - Explore,Gotham Explore,Gotham explore package,Phrase,Active,1.9,6.7,4,1,0,0.04,0,0,1
Gotham Stay,bing,LOC-non-Gotham - Luxury,Gotham Five Star,Gotham five star,Phrase,Active,0.9,0,5,0,0,0,0,0,1.1
Gotham Stay,Google,TOL LOC-non-Gotham - Luxury,Gotham Five Star,Gotham five star,Phrase,Active,0.1,6.2,1,0,0,0,0,0,1
Gotham Stay,Google,LOC-non-Gotham - Luxury,Gotham Five Star,Gotham five star,Phrase,Active,1.7,5.7,2,1,0,0.21,0.2,0,1.6
Gotham Stay,Google,LOC-non-Gotham - Luxury,Gotham Four Star,Gotham four star,Phrase,Active,0.9,6.1,3,0,0,0,0,0,1
Gotham Stay,bing,LOC-Gotham Leisure,Gotham Leisure_Exact,Gotham free breakfast,Exact,Active,0.5,0,1,0,0,0,0,0,0.9
Gotham Stay,bing,LOC-Gotham Leisure,Gotham Leisure_Phrase,Gotham free breakfast,Phrase,Active,0.3,0,7,0,0,0,0,0,2
Gotham Stay,Google,LOC-Gotham Leisure,Gotham Leisure_Exact,Gotham free breakfast,Exact,Active,1.2,6.6,41,5,0,1.28,0.2,0,0.9
Gotham Stay,Google,LOC-Gotham Leisure,Gotham Leisure_Phrase,Gotham free breakfast,Phrase,Active,1.4,5.3,23,0,0,0,0,0,1
Gotham Stay,bing,LOC-Gotham Leisure,Gotham Leisure_Exact,Gotham free night,Exact,Active,0.4,0,13,0,0,0,0,0,0.9
Gotham Stay,bing,LOC-Gotham Leisure,Gotham Leisure_Phrase,Gotham free night,Phrase,Active,0.4,0,33,5,0,0.98,0.2,0,1.4
Gotham Stay,Google,LOC-Gotham Leisure,Gotham Leisure_Exact,Gotham free night,Exact,Active,0.6,6.9,81,16,2,1.09,0.1,401.2,0.9
Gotham Stay,Google,LOC-Gotham Leisure,Gotham Leisure_Phrase,Gotham free night,Phrase,Active,0.4,6.9,116,5,0,0.94,0.2,0,1.2
Gotham Stay,bing,TM - elite Passport,GP_Exact,Gotham free nights,Exact,Active,1.1,0,18,2,1,0.3,0.1,520.9,1
Gotham Stay,bing,TM - elite Passport,GP_Phrase,Gotham free nights,Phrase,Active,0.6,0,24,0,0,0,0,0,1.1
Gotham Stay,bing,LOC-Gotham Leisure,Gotham Leisure_Exact,Gotham free nights,Exact,Paused,0.5,0,1,0,0,0,0,0,0.9
Gotham Stay,bing,LOC-Gotham Leisure,Gotham Leisure_Phrase,Gotham free nights,Phrase,Paused,0.4,0,5,0,0,0,0,0,1.3
Gotham Stay,Google,TM - elite Passport,GP_Exact,Gotham free nights,Exact,Active,0.4,5.9,99,2,0,0.16,0.1,0,1
Gotham Stay,Google,TM - elite Passport,GP_Phrase,Gotham free nights,Phrase,Active,0.3,6.1,32,0,0,0,0,0,2.1
Gotham Stay,Google,LOC-Gotham Leisure,Gotham Leisure_Exact,Gotham free nights,Exact,Paused,0.7,6.9,33,4,0,0.16,0,0,0.9
Gotham Stay,Google,LOC-Gotham Leisure,Gotham Leisure_Phrase,Gotham free nights,Phrase,Paused,0.4,6.6,24,2,0,0.39,0.2,0,1.2
Gotham Stay,Google,LOC-Gotham Leisure,Gotham Leisure_Phrase,Gotham free stay,Phrase,Active,0.5,6.5,1,0,0,0,0,0,2
Gotham Stay,bing,LOC-Gotham Leisure,Gotham Leisure_Exact,Gotham free time,Exact,Active,0.4,0,62,34,2,3.24,0.1,672.2,1
Gotham Stay,bing,LOC-Gotham Leisure,Gotham Leisure_Phrase,Gotham free time,Phrase,Active,0.3,0,27,7,2,0.92,0.1,763.8,1.2
Gotham Stay,Google,LOC-Gotham Leisure,Gotham Leisure_Exact,Gotham free time,Exact,Active,0.7,6.6,382,61,8,3.23,0.1,2420.5,0.9
Gotham Stay,Google,LOC-Gotham Leisure,Gotham Leisure_Phrase,Gotham free time,Phrase,Active,0.5,6.4,101,18,1,4.27,0.2,0,1
Gotham Stay,bing,TM - elite Passport,GP_Exact,Gotham frequent guest,Exact,Active,1,0,1,0,0,0,0,0,0.9
Gotham Stay,Google,TM - elite Passport,GP_Exact,Gotham frequent guest,Exact,Active,1,6.4,16,3,1,0.17,0,0,1
Gotham Stay,Google,TM - elite Passport,GP_Phrase,Gotham frequent guest,Phrase,Active,0.4,6,2,0,0,0,0,0,0.9
Gotham Stay,bing,TM - elite Passport,GP_Exact,Gotham frequent guest program,Exact,Active,1.1,0,16,5,0,0.63,0.1,0,1
Gotham Stay,bing,TM - elite Passport,GP_Phrase,Gotham frequent guest program,Phrase,Active,0.5,0,3,1,0,0.28,0.3,0,0.9
Gotham Stay,Google,TM - elite Passport,GP_Exact,Gotham frequent guest program,Exact,Active,2.4,7,52,5,1,0.24,0,796.1,1
Gotham Stay,Google,LOC-non-Gotham - Packages,Gotham Package Deals,Gotham gift cert,Phrase,Active,1.9,5.9,2,0,0,0,0,0,1
Gotham Stay,bing,TM - elite Passport,GP_Exact,Gotham elite,Exact,Active,0.2,0,429,78,6,5.36,0.1,3349.3,1
Gotham Stay,bing,TM - elite Passport,GP_Phrase,Gotham elite,Phrase,Active,1.1,0,2554,419,29,68.95,0.1,7264.2,1.2
Gotham Stay,Google,TM - elite Passport,GP_Exact,Gotham elite,Exact,Active,0.3,6,3655,823,66,46.18,0,17930.6,1
Gotham Stay,Google,TM - elite Passport,GP_Phrase,Gotham elite,Phrase,Active,2.1,6.2,445,38,3,7.94,0.2,705.9,1.3
Gotham Stay,bing,TM - elite Passport,GP_Exact,Gotham elite card,Exact,Active,1.4,0,118,43,2,5.92,0.1,1773.4,1
Gotham Stay,bing,TM - elite Passport,GP_Phrase,Gotham elite card,Phrase,Active,0.6,0,8,4,0,1.03,0.2,0,1.1
Gotham Stay,Google,TM - elite Passport,GP_Exact,Gotham elite card,Exact,Active,0.1,9.4,317,119,6,3.28,0,741.1,1
Gotham Stay,Google,TM - elite Passport,GP_Phrase,Gotham elite card,Phrase,Active,1,9.2,38,15,0,1.53,0.1,0,1.2
Gotham Stay,bing,TM - elite Passport,GP_Exact,Gotham elite card member,Exact,Active,1.2,0,7,4,0,0.79,0.2,0,1
Gotham Stay,bing,TM - elite Passport,GP_Phrase,Gotham elite card member,Phrase,Active,0.5,0,1,1,0,0.22,0.3,0,0.9
Gotham Stay,Google,TM - elite Passport,GP_Exact,Gotham elite card member,Exact,Active,0.1,8.3,17,7,0,0.18,0,0,0.9
Gotham Stay,Google,TM - elite Passport,GP_Phrase,Gotham elite card member,Phrase,Active,0.7,9.1,6,1,0,0.01,0,0,1.2
Gotham Stay,bing,TM - elite Passport,GP_Exact,Gotham elite club,Exact,Active,1.5,0,35,24,1,3.22,0.1,127.9,1
Gotham Stay,bing,TM - elite Passport,GP_Phrase,Gotham elite club,Phrase,Active,0.6,0,12,3,0,1.05,0.3,0,0.9
Gotham Stay,Google,TM - elite Passport,GP_Exact,Gotham elite club,Exact,Active,0.1,8.3,101,35,0,0.55,0,0,1
Gotham Stay,Google,TM - elite Passport,GP_Phrase,Gotham elite club,Phrase,Active,1.2,8.4,42,15,2,1.57,0.1,624,1.1
Gotham Stay,bing,TM - elite Passport,GP_Exact,Gotham elite member,Exact,Active,2.3,0,75,21,0,3.14,0.1,0,1
Gotham Stay,bing,TM - elite Passport,GP_Phrase,Gotham elite member,Phrase,Active,0.9,0,30,10,0,1.38,0.1,0,1
Gotham Stay,Google,TM - elite Passport,GP_Exact,Gotham elite member,Exact,Active,0.1,7.8,170,68,4,0.99,0,543.2,1
Gotham Stay,Google,TM - elite Passport,GP_Phrase,Gotham elite member,Phrase,Active,0.6,8.7,42,4,2,0.32,0.1,481.8,1.1
Gotham Stay,bing,TM - elite Passport,GP_Exact,Gotham elite membership,Exact,Active,0.7,0,29,9,0,1.89,0.2,0,0.9
Gotham Stay,bing,TM - elite Passport,GP_Phrase,Gotham elite membership,Phrase,Active,0.5,0,24,8,0,1.36,0.1,0,1
Gotham Stay,Google,TM - elite Passport,GP_Exact,Gotham elite membership,Exact,Active,0.1,8.7,603,275,14,3.37,0,9606.3,1
Gotham Stay,Google,TM - elite Passport,GP_Phrase,Gotham elite membership,Phrase,Active,2.9,8.9,136,8,0,1.87,0.2,0,1.1
Gotham Stay,bing,TM - elite Passport,GP_Exact,Gotham elite pass,Exact,Active,1.9,0,208,62,2,7.89,0.1,435.5,1
Gotham Stay,bing,TM - elite Passport,GP_Phrase,Gotham elite pass,Phrase,Active,0.5,0,7,2,0,0.32,0.2,0,1.1
Gotham Stay,Google,TM - elite Passport,GP_Exact,Gotham elite pass,Exact,Active,0.1,8.8,296,98,9,2.58,0,2647.5,1
Gotham Stay,Google,TM - elite Passport,GP_Phrase,Gotham elite pass,Phrase,Active,0.3,8,23,3,0,0.04,0,0,1.1
Gotham Stay,bing,TM - elite Passport,GP_Exact,Gotham elite pass reward,Exact,Active,1.3,0,1,0,0,0,0,0,1
Gotham Stay,Google,TM - elite Passport,GP_Exact,Gotham elite pass reward,Exact,Active,1.3,8.9,4,0,0,0,0,0,1
Gotham Stay,bing,TM - elite Passport,GP_Exact,Gotham elite pass rewards,Exact,Active,1.2,0,2,0,0,0,0,0,0.9
Gotham Stay,bing,TM - elite Passport,GP_Phrase,Gotham elite pass rewards,Phrase,Active,0.7,0,1,1,0,0.14,0.1,0,1
Gotham Stay,Google,TM - elite Passport,GP_Exact,Gotham elite pass rewards,Exact,Active,1.2,9.7,3,0,0,0,0,0,0.9
Gotham Stay,bing,TM - elite Passport,GP_Exact,Gotham elite passport,Exact,Active,1.1,0,20387,4434,346,633.19,0.1,100595.6,0.9
Gotham Stay,bing,TM - elite Passport,GP_Phrase,Gotham elite passport,Phrase,Active,0.8,0,297,52,2,9.32,0.2,0,1
Gotham Stay,Google,Gen - PV - Brand Video 2012,elite Passport,Gotham elite passport,Phrase,Active,2.9,9.3,21,4,0,0.09,0,0,0.9
Gotham Stay,Google,TM - elite Passport,GP_Exact,Gotham elite passport,Exact,Active,0.1,8.1,19440,6276,338,132.88,0,116359,1
Gotham Stay,Google,TM - elite Passport,GP_Phrase,Gotham elite passport,Phrase,Active,5.4,8.7,8021,937,53,204.94,0.2,24427.5,1
Gotham Stay,Google,TM - elite Passport,GP_Exact,Gotham elite passport application online,Exact,Active,1.4,6,2,0,0,0,0,0,1.3
Gotham Stay,bing,TM - elite Passport,GP_Phrase,Gotham elite passport benefits,Phrase,Active,0.6,0,6,0,0,0,0,0,1.1
Gotham Stay,Google,TM - elite Passport,GP_Phrase,Gotham elite passport benefits,Phrase,Active,0.5,6.8,117,26,1,1.39,0,280.5,0.9
Gotham Stay,bing,TM - elite Passport,GP_Exact,Gotham elite passport bonus offer,Exact,Active,1.3,0,1,0,0,0,0,0,0.9
Gotham Stay,Google,TM - elite Passport,GP_Exact,Gotham elite passport bonus offer,Exact,Active,1.3,8.2,2,0,0,0,0,0,0.9
Gotham Stay,bing,TM - elite Passport,GP_Exact,Gotham elite passport bonus offers,Exact,Active,1.1,0,1,0,0,0,0,0,0.9
Gotham Stay,Google,TM - elite Passport,GP_Exact,Gotham elite passport bonus offers,Exact,Active,1.5,8.7,15,0,0,0,0,0,0.9
Gotham Stay,Google,TM - elite Passport,GP_Phrase,Gotham elite passport bonus offers,Phrase,Active,0.5,6.4,2,0,0,0,0,0,1.4
Gotham Stay,bing,TM - elite Passport,GP_Exact,Gotham elite passport card,Exact,Active,1.3,0,10,3,0,0.23,0.1,0,1
Gotham Stay,Google,TM - elite Passport,GP_Exact,Gotham elite passport card,Exact,Active,3.1,8.4,40,7,1,2.59,0.3,0,1
Gotham Stay,Google,TM - elite Passport,GP_Phrase,Gotham elite passport card,Phrase,Active,0.7,8.3,24,2,0,0.26,0.1,0,1.8
Gotham Stay,bing,TM - elite Passport,GP_Phrase,Gotham elite passport customer service,Phrase,Active,0.3,0,54,13,0,1.74,0.2,0,1
Gotham Stay,Google,TM - elite Passport,GP_Phrase,Gotham elite passport customer service,Phrase,Active,0.1,8.7,376,118,2,2.36,0,342.1,0.9
Gotham Stay,bing,TM - elite Passport,GP_Exact,Gotham elite passport login,Exact,Active,0.2,0,538,246,13,17.37,0.1,3544.5,0.9
Gotham Stay,bing,TM - elite Passport,GP_Phrase,Gotham elite passport login,Phrase,Active,0.1,0,29,14,2,0.74,0,160.7,1
Gotham Stay,Google,TM - elite Passport,GP_Exact,Gotham elite passport login,Exact,Active,0.1,8.4,1699,489,38,5.23,0,8766.2,0.9
Gotham Stay,Google,TM - elite Passport,GP_Phrase,Gotham elite passport login,Phrase,Active,5.1,8,91,20,2,3.88,0.2,147.6,0.9
Gotham Stay,bing,TM - elite Passport,GP_Exact,Gotham elite passport membership,Exact,Active,1,0,26,1,0,0.05,0,0,1
Gotham Stay,bing,TM - elite Passport,GP_Phrase,Gotham elite passport membership,Phrase,Active,0.6,0,1,0,0,0,0,0,0.9
Gotham Stay,Google,TM - elite Passport,GP_Exact,Gotham elite passport membership,Exact,Active,0.1,8.6,42,15,0,0.33,0,0,1
